Bundesland;Anker_Landeshauptstadt;Friedhofs_Faktor;Index;Feuerbestattung_min_EUR;Feuerbestattung_max_EUR;Erdbestattung_min_EUR;Erdbestattung_max_EUR
Bayern;München;1.76;136;4500;12450;7200;20850
Nordrhein-Westfalen;Düsseldorf;1.36;117;4100;11000;6200;17400
Saarland;Saarbrücken;1.24;111;4000;10550;5900;16350
Sachsen-Anhalt;Magdeburg;1.15;107;3900;10250;5700;15600
Baden-Württemberg;Stuttgart;1.13;106;3900;10150;5600;15400
Hamburg;Hamburg;1.12;106;3900;10150;5600;15350
Niedersachsen;Hannover;1.13;106;3900;10150;5600;15400
Hessen;Wiesbaden;1.05;102;3850;9900;5400;14750
Thüringen;Erfurt;0.99;100;3750;9650;5300;14200
Bremen;Bremen;0.94;97;3700;9500;5150;13800
Mecklenburg-Vorpommern;Schwerin;0.91;96;3700;9400;5100;13550
Rheinland-Pfalz;Mainz;0.91;96;3700;9400;5100;13550
Schleswig-Holstein;Kiel;0.70;86;3500;8600;4550;11700
Brandenburg;Potsdam;0.68;85;3500;8550;4500;11550
Sachsen;Dresden;0.60;81;3400;8250;4300;10850
Berlin;Berlin;0.48;75;3300;7850;4000;9850
